,exp_num,g_name,treatment,flow,date,group,replicate,sector_samp,median_dot,std_dot
0,0,No Treatment-UF,No Treatment,UF,51023,11,1,0,0.9455185755993167,0.2072862361196395
1,0,No Treatment-UF,No Treatment,UF,51023,11,1,1,0.9271838545667875,0.2365927711936813
2,0,No Treatment-UF,No Treatment,UF,51023,11,1,2,0.8386705679454239,0.27657137030277873
3,0,No Treatment-UF,No Treatment,UF,51023,11,1,3,0.9063077870366499,0.26392387205918955
4,1,No Treatment-DF,No Treatment,DF,51023,9,1,4,0.754709580222772,0.30392855090068954
5,1,No Treatment-DF,No Treatment,DF,51023,9,1,5,0.7771459614569708,0.3018393121798117
6,1,No Treatment-DF,No Treatment,DF,51023,9,1,6,0.754709580222772,0.30121559983348056
7,1,No Treatment-DF,No Treatment,DF,51023,9,1,7,0.7071067811865476,0.3085906733200759
8,2,No Treatment-Static,No Treatment,Static,51023,10,1,8,0.7071067811865476,0.30679270545338555
9,2,No Treatment-Static,No Treatment,Static,51023,10,1,9,0.7071067811865475,0.30764095005826125
10,2,No Treatment-Static,No Treatment,Static,51023,10,1,10,0.7071067811865475,0.30797461007623567
11,2,No Treatment-Static,No Treatment,Static,51023,10,1,11,0.7313537016191705,0.30781403654411843
12,3,No Treatment-DF,No Treatment,DF,5823,9,5,12,0.848048096156426,0.2827019597031977
13,3,No Treatment-DF,No Treatment,DF,5823,9,5,13,0.848048096156426,0.2732563192592333
14,3,No Treatment-DF,No Treatment,DF,5823,9,5,14,0.7547095802227719,0.31381267719008477
15,3,No Treatment-DF,No Treatment,DF,5823,9,5,15,0.8386705679454239,0.28252628492859394
16,4,No Treatment-Static,No Treatment,Static,5823,10,5,16,0.7771459614569708,0.29727710951040437
17,4,No Treatment-Static,No Treatment,Static,5823,10,5,17,0.7313537016191707,0.3039462016778971
18,4,No Treatment-Static,No Treatment,Static,5823,10,5,18,0.7431448254773942,0.2996129428399373
19,4,No Treatment-Static,No Treatment,Static,5823,10,5,19,0.7193398003386511,0.3112001378499708
20,5,No Treatment-UF,No Treatment,UF,5823,11,5,20,0.8191520442889919,0.28836752208481037
21,5,No Treatment-UF,No Treatment,UF,5823,11,5,21,0.8386705679454239,0.2897635460811264
22,5,No Treatment-UF,No Treatment,UF,5823,11,5,22,0.8191520442889918,0.28497049101723115
23,5,No Treatment-UF,No Treatment,UF,5823,11,5,23,0.7880107536067219,0.3110987390836648
24,6,No Treatment-Static,No Treatment,Static,51823,10,2,24,0.7071067811865475,0.30680503360028155
25,6,No Treatment-Static,No Treatment,Static,51823,10,2,25,0.7071067811865476,0.307085699836881
26,6,No Treatment-Static,No Treatment,Static,51823,10,2,26,0.7193398003386511,0.3080900230585021
27,6,No Treatment-Static,No Treatment,Static,51823,10,2,27,0.7193398003386512,0.3079120253913076
28,7,No Treatment-UF,No Treatment,UF,51823,11,2,28,0.8910065241883678,0.27900256963470244
29,7,No Treatment-UF,No Treatment,UF,51823,11,2,29,0.8910065241883679,0.2556847458278405
30,7,No Treatment-UF,No Treatment,UF,51823,11,2,30,0.8660254037844387,0.2691993676756071
31,7,No Treatment-UF,No Treatment,UF,51823,11,2,31,0.7431448254773942,0.30667785122260166
32,8,No Treatment-DF,No Treatment,DF,51823,9,2,32,0.7771459614569709,0.3021102938505043
33,8,No Treatment-DF,No Treatment,DF,51823,9,2,33,0.8191520442889917,0.28683690860528016
34,8,No Treatment-DF,No Treatment,DF,51823,9,2,34,0.8987940462991669,0.24264397063718612
35,8,No Treatment-DF,No Treatment,DF,51823,9,2,35,0.8746197071393959,0.2760919722980191
36,9,No Treatment-UF,No Treatment,UF,5223,11,3,36,0.7313537016191706,0.3060329777691656
37,9,No Treatment-UF,No Treatment,UF,5223,11,3,37,0.766044443118978,0.30140119868930987
38,9,No Treatment-UF,No Treatment,UF,5223,11,3,38,0.754709580222772,0.30326270709122977
39,9,No Treatment-UF,No Treatment,UF,5223,11,3,39,0.7071067811865476,0.3195851411907707
40,10,No Treatment-DF,No Treatment,DF,5223,9,3,40,0.7313537016191705,0.3049349812661671
41,10,No Treatment-DF,No Treatment,DF,5223,9,3,41,0.7313537016191705,0.3074309014451948
42,10,No Treatment-DF,No Treatment,DF,5223,9,3,42,0.766044443118978,0.300664648609586
43,10,No Treatment-DF,No Treatment,DF,5223,9,3,43,0.7431448254773942,0.30320253038401945
44,11,No Treatment-Static,No Treatment,Static,5223,10,3,44,0.7071067811865476,0.31082372319073986
45,11,No Treatment-Static,No Treatment,Static,5223,10,3,45,0.7193398003386511,0.3071682777007048
46,11,No Treatment-Static,No Treatment,Static,5223,10,3,46,0.7193398003386512,0.3030174379616151
47,11,No Treatment-Static,No Treatment,Static,5223,10,3,47,0.8090169943749473,0.2922211782897178
48,12,No Treatment-UF,No Treatment,UF,5323,11,4,48,0.7880107536067219,0.29603275458900496
49,12,No Treatment-UF,No Treatment,UF,5323,11,4,49,0.7880107536067219,0.29538384824124747
50,12,No Treatment-UF,No Treatment,UF,5323,11,4,50,0.7431448254773942,0.3073225397387824
51,12,No Treatment-UF,No Treatment,UF,5323,11,4,51,0.7431448254773942,0.303604015734441
52,13,No Treatment-DF,No Treatment,DF,5323,9,4,52,0.7313537016191705,0.30836638224283186
53,13,No Treatment-DF,No Treatment,DF,5323,9,4,53,0.7193398003386512,0.30696827140465743
54,13,No Treatment-DF,No Treatment,DF,5323,9,4,54,0.7313537016191705,0.30425150215088204
55,13,No Treatment-DF,No Treatment,DF,5323,9,4,55,0.7431448254773941,0.3123484490260773
56,14,No Treatment-Static,No Treatment,Static,5323,10,4,56,0.7071067811865476,0.3078540329934824
57,14,No Treatment-Static,No Treatment,Static,5323,10,4,57,0.7071067811865476,0.3072006431058855
58,14,No Treatment-Static,No Treatment,Static,5323,10,4,58,0.7071067811865475,0.31011979209893986
59,14,No Treatment-Static,No Treatment,Static,5323,10,4,59,0.7193398003386511,0.30702062402928715
192,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,192,0.7313537016191705,0.30495548163872144
193,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,193,0.8090169943749475,0.292402201412498
194,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,194,0.7132232907625993,0.3070346639562109
195,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,195,0.788010753606722,0.29640112649981665
196,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,196,0.7193398003386511,0.3082054780111944
197,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,197,0.7431448254773942,0.3032700370667648
198,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,198,0.7071067811865476,0.3147070214720786
199,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,199,0.6946583704589973,0.3098466061252355
200,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,200,0.7071067811865476,0.3059245102034729
201,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,201,0.7071067811865476,0.307408322499604
202,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,202,0.7071067811865475,0.30748170148072235
203,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,203,0.7193398003386512,0.30573061121495965
204,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,204,0.9205048534524405,0.22407669492488683
205,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,205,0.8746197071393957,0.2760984115413384
206,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,206,0.9455185755993168,0.22436911232584544
207,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,207,0.9271838545667873,0.2460422025470592
208,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,208,0.754709580222772,0.3069547343099281
209,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,209,0.7431448254773942,0.30416128526223174
210,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,210,0.7313537016191705,0.3054093996011556
211,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,211,0.7431448254773944,0.30383201795507486
212,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,212,0.7193398003386511,0.30717096832060264
213,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,213,0.7071067811865476,0.30653283847888846
214,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,214,0.7071067811865475,0.3076275606619737
215,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,215,0.7193398003386512,0.3057716389430655
216,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,216,0.8829475928589269,0.2803316296326754
217,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,217,0.90630778703665,0.2505677791526839
218,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,218,0.8829475928589269,0.27093929407860967
219,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,219,0.8191520442889919,0.29146130143732474
220,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,220,0.719339800338651,0.3088407639240274
221,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,221,0.719339800338651,0.30763218251867464
222,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,222,0.743144825477394,0.304291732963884
223,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,223,0.7431448254773942,0.3030432225089015
224,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,224,0.7986355100472927,0.295049144054859
225,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,225,0.788010753606722,0.2951986591403775
226,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,226,0.7880107536067219,0.30391028938600556
227,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,227,0.777145961456971,0.2949783946159555
228,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,228,0.788010753606722,0.2982780473671402
229,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,229,0.754709580222772,0.3016716352850108
230,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,230,0.7071067811865476,0.3052703671551356
231,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,231,0.7313537016191705,0.3116697437753062
232,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,232,0.7071067811865475,0.30894747549437424
233,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,233,0.7071067811865476,0.307409506847722
234,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,234,0.7193398003386511,0.307598233215684
235,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,235,0.7193398003386512,0.30680549747502756
236,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,236,0.7880107536067219,0.2963211457946308
237,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,237,0.7313537016191705,0.30830164153111
238,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,238,0.766044443118978,0.29754523242304065
239,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,239,0.7771459614569708,0.2987458990320396
